Store,Date,IsHoliday,Temperature,gas_price,discount_promotional,discount_clearance,discount_damaged_good,discount_competitive,CPI,Unemployment,Weekly_Sales,Type,Size,Weekly_Sales.1
1,2/5/2010,FALSE,59.33,3.36,9667.5,268.29,0.6,8368.15,223.6591137,6.833,1643690.9,A,151315,1643690.9
1,2/12/2010,TRUE,51.65,3.409,8687.47,1594.87,2.2,2144.87,223.753643,6.833,1641957.44,A,151315,1641957.44
1,2/19/2010,FALSE,52.39,3.51,2706.87,3128.74,1.88,2396.68,223.9170153,6.833,1611968.17,A,151315,1611968.17
1,3/12/2010,FALSE,60.71,3.669,8368.5,298.46,1.39,1340.29,224.5620291,6.833,1439541.59,A,151315,1439541.59
1,3/19/2010,FALSE,64,3.734,2588.06,80.89,3.2,909.76,224.7166953,6.833,1472515.79,A,151315,1472515.79
1,3/26/2010,FALSE,66.53,3.787,737.08,36.1,1.43,92.11,224.7909104,6.833,1404429.92,A,151315,1404429.92
1,4/2/2010,FALSE,69.36,3.845,825.1,99.83,1.25,113.25,224.8651254,6.833,1594968.28,A,151315,1594968.28
1,4/16/2010,FALSE,72.83,3.891,5359.22,1673.42,3,682.03,225.0135556,6.664,1466058.28,A,151315,1466058.28
1,4/23/2010,FALSE,72.05,3.877,2784.82,130.68,1.75,425.29,225.0689541,6.664,1391256.12,A,151315,1391256.12
1,6/4/2010,FALSE,81.55,3.501,2664.55,10,220.03,618.49,225.2518313,6.664,1615524.71,A,151315,1615524.71
1,6/11/2010,FALSE,81.65,3.452,5770.48,28.6,30.18,283.7,225.2521458,6.664,1542561.09,A,151315,1542561.09
1,6/18/2010,FALSE,84.66,3.393,2014.47,31.8,1,631.17,225.2644795,6.664,1503284.06,A,151315,1503284.06
1,6/25/2010,FALSE,82.7,3.346,1843.45,11.2,0.51,421.71,225.3068615,6.664,1422711.6,A,151315,1422711.6
1,7/9/2010,FALSE,83.14,3.227,2625.99,30.7,28.16,703.16,225.3916254,6.334,1546074.18,A,151315,1546074.18
1,7/16/2010,FALSE,82.28,3.256,3196.9,20.8,2.02,302.29,225.4340074,6.334,1448938.92,A,151315,1448938.92
1,7/23/2010,FALSE,81.38,3.311,1266.72,66.2,3.83,149.62,225.4438827,6.334,1385065.2,A,151315,1385065.2
1,7/30/2010,FALSE,84.94,3.407,3447.28,31,2.46,1791.7,225.4537579,6.334,1371986.6,A,151315,1371986.6
1,8/6/2010,FALSE,86.55,3.417,5683.49,37.2,0.04,2484.22,225.4636332,6.334,1605491.78,A,151315,1605491.78
1,8/13/2010,FALSE,85.85,3.494,3375.44,28.4,2.4,1880.43,225.4735085,6.334,1508237.76,A,151315,1508237.76
1,9/3/2010,FALSE,85.18,3.638,6599.69,27.8,24.7,1743.76,225.8293063,6.334,1540163.53,A,151315,1540163.53
1,9/10/2010,TRUE,84.99,3.73,2266.83,19,8.31,419.87,225.9660263,6.334,1507460.69,A,151315,1507460.69
1,9/24/2010,FALSE,72.78,3.721,3233.34,1.91,7.69,878.66,226.3151496,6.334,1351791.03,A,151315,1351791.03
1,10/29/2010,FALSE,74.66,3.506,370.99,6.35,4,5.94,226.9873637,6.034,1384209.22,A,151315,1384209.22
1,11/5/2010,FALSE,61.61,3.386,3218.13,420.29,0.55,1498.52,227.0058832,6.034,1551659.28,A,151315,1551659.28
1,11/12/2010,FALSE,68.72,3.314,2540.75,985.52,0.85,273.23,227.0244026,6.034,1494479.49,A,151315,1494479.49
1,11/19/2010,FALSE,61.1,3.252,1933.43,197.19,48.6,433.85,227.0569237,6.034,1483784.18,A,151315,1483784.18
1,12/31/2010,TRUE,51.76,3.108,6542.05,10952.76,70.6,201.38,227.5148363,6.034,1367320.01,A,151315,1367320.01
1,1/7/2011,FALSE,46.52,3.161,2917.32,7821.32,0.2,171.09,227.6363871,6.108,1444732.28,A,151315,1444732.28
1,1/14/2011,FALSE,49.83,3.243,2503.67,3395,0.52,160.25,227.7579379,6.108,1391013.96,A,151315,1391013.96
1,1/21/2011,FALSE,49.09,3.237,659.55,779.95,2.1,43.05,227.7893692,6.108,1327405.42,A,151315,1327405.42
1,1/28/2011,FALSE,57.85,3.227,524.43,838.33,0.1,19.79,227.7847527,6.108,1316899.31,A,151315,1316899.31
1,2/4/2011,FALSE,62.81,3.244,2513.52,665.85,30,3221.12,227.7801362,6.108,1606629.58,A,151315,1606629.58
1,2/11/2011,TRUE,62.77,3.417,29091.04,224.97,163.55,6151.53,227.7755197,6.108,1649614.93,A,151315,1649614.93
1,3/11/2011,FALSE,57.25,3.658,6458.44,34.88,4,892.51,228.2526667,6.108,1553191.63,A,151315,1553191.63
1,4/8/2011,FALSE,65.89,3.583,9649.15,1285.04,316.3,65.46,228.6428882,5.999,1614259.35,A,151315,1614259.35
1,4/15/2011,FALSE,67.56,3.529,900.72,716.86,53.54,151.17,228.7298638,5.999,1559889,A,151315,1559889
1,4/22/2011,FALSE,71.69,3.451,976.83,0.01,60,40.4,228.7298638,5.999,1564819.81,A,151315,1564819.81
1,11/11/2011,FALSE,59.11,3.297,10382.9,6115.67,215.07,2406.62,217.9980849,8.2,1594938.89,A,151315,1594938.89
1,11/18/2011,FALSE,62.25,3.308,6074.12,254.39,51.98,427.39,218.2205088,8.2,1539483.7,A,151315,1539483.7
1,11/25/2011,TRUE,60.14,3.236,410.31,98,55805.51,8,218.4676211,8.099,2033320.66,A,151315,2033320.66
1,12/2/2011,FALSE,48.91,3.172,5629.51,68,1398.11,2084.64,218.7147333,8.099,1584083.95,A,151315,1584083.95
1,12/9/2011,FALSE,43.93,3.158,4640.65,19,105.02,3639.42,218.9618456,8.099,1799682.38,A,151315,1799682.38
1,12/16/2011,FALSE,51.63,3.159,5011.32,67,347.37,225.79,219.1794533,8.099,1881176.67,A,151315,1881176.67
1,12/23/2011,FALSE,47.96,3.112,2725.36,40.48,634.7,24.9,219.3577216,8.099,2270188.99,A,151315,2270188.99
1,12/30/2011,TRUE,44.55,3.129,5762.1,46011.38,260.36,983.65,219.5359898,8.099,1497462.72,A,151315,1497462.72
1,1/6/2012,FALSE,49.01,3.157,6277.39,21813.16,143.1,1450.13,219.7142581,8.099,1550369.92,A,151315,1550369.92
1,1/13/2012,FALSE,48.53,3.261,5183.29,8025.87,42.24,453.08,219.8925263,8.099,1459601.17,A,151315,1459601.17
1,1/20/2012,FALSE,54.11,3.268,4139.87,2807.19,33.88,500.62,219.9856893,8.099,1394393.84,A,151315,1394393.84
1,1/27/2012,FALSE,54.26,3.29,1164.46,1082.74,44,11,220.0788523,8.099,1319325.59,A,151315,1319325.59
1,2/3/2012,FALSE,56.55,3.36,34577.06,3579.21,160.53,32403.87,220.1720153,8.099,1636339.65,A,151315,1636339.65
1,2/10/2012,TRUE,48.02,3.409,13925.06,6927.23,101.64,8471.88,220.2651783,8.099,1802477.43,A,151315,1802477.43
1,2/17/2012,FALSE,45.32,3.51,9873.33,11062.27,9.8,8409.31,220.4257586,8.099,1819870,A,151315,1819870
1,2/24/2012,FALSE,57.25,3.555,9349.61,7556.01,3.2,1219.92,220.636902,8.163,1539387.83,A,151315,1539387.83
1,3/2/2012,FALSE,60.96,3.63,15441.4,1569,10.8,25390.88,220.8480454,8.163,1688420.76,A,151315,1688420.76
1,3/9/2012,FALSE,58.76,3.669,10331.04,151.88,6,671.43,221.0591887,8.163,1675431.16,A,151315,1675431.16
1,3/16/2012,FALSE,64.74,3.734,4298.16,7.5,2.02,2724.65,221.2118132,8.163,1677472.78,A,151315,1677472.78
1,3/23/2012,FALSE,65.93,3.787,6118.56,9.48,4.97,426.72,221.2864126,8.163,1511068.07,A,151315,1511068.07
1,3/30/2012,FALSE,67.61,3.845,10309.58,0.5,10.25,1654.17,221.3610119,8.163,1649604.63,A,151315,1649604.63
1,4/13/2012,FALSE,69.07,3.891,6186.19,3288.69,17.07,1822.55,221.5102105,8.163,1621031.7,A,151315,1621031.7
1,4/20/2012,FALSE,66.76,3.877,2230.8,612.02,19.75,275.13,221.5640737,8.163,1521577.87,A,151315,1521577.87
1,6/1/2012,FALSE,77.95,3.501,6086.21,12,370.51,148.75,221.7472139,8.028,1624477.58,A,151315,1624477.58
1,6/8/2012,FALSE,78.3,3.452,8813.81,116.8,64.55,2652.04,221.7494839,8.028,1697230.96,A,151315,1697230.96
1,6/15/2012,FALSE,79.35,3.393,5621.99,109.6,0.25,2420.28,221.7626421,8.028,1630607,A,151315,1630607
1,6/22/2012,FALSE,78.39,3.346,8624.56,171.25,3.05,2524.07,221.8030211,8.028,1527845.81,A,151315,1527845.81
1,7/6/2012,FALSE,81.57,3.227,12218.76,94.4,192.83,4066.01,221.8837789,8.028,1769854.16,A,151315,1769854.16
1,7/13/2012,FALSE,77.12,3.256,7218.13,45.2,36.24,3909.38,221.9241579,8.028,1527014.04,A,151315,1527014.04
1,7/20/2012,FALSE,80.42,3.311,3213,313.72,9.53,2262.02,221.9327267,8.028,1497954.76,A,151315,1497954.76
1,7/27/2012,FALSE,82.66,3.407,7146.9,389.02,1.59,10267.54,221.9412954,8.028,1439123.71,A,151315,1439123.71
1,8/3/2012,FALSE,86.11,3.417,27584.78,119.98,30.23,12007.04,221.9498642,8.028,1631135.79,A,151315,1631135.79
1,8/10/2012,FALSE,85.05,3.494,11436.22,245,6.85,6964.26,221.9584329,8.028,1592409.97,A,151315,1592409.97
1,8/17/2012,FALSE,84.85,3.571,3662.06,137.86,4.84,2752.2,222.0384109,8.028,1597868.05,A,151315,1597868.05
1,8/24/2012,FALSE,77.66,3.62,6237.83,260.06,2.97,3463.03,222.1719457,7.931,1494122.38,A,151315,1494122.38
1,8/31/2012,FALSE,80.49,3.638,21442.73,102.32,21.7,13209.64,222.3054805,7.931,1582083.4,A,151315,1582083.4
1,9/7/2012,TRUE,83.96,3.73,5204.68,35.74,50.94,4120.32,222.4390153,7.931,1661767.33,A,151315,1661767.33
1,9/14/2012,FALSE,74.97,3.717,17212.52,7,18.79,1523.11,222.5820193,7.931,1517428.87,A,151315,1517428.87
1,9/21/2012,FALSE,69.87,3.721,6352.3,7.64,4.69,1010.06,222.7818386,7.931,1506126.06,A,151315,1506126.06
1,9/28/2012,FALSE,76.08,3.666,3666.27,7.64,1.65,1417.96,222.9816579,7.931,1437059.26,A,151315,1437059.26
1,10/26/2012,FALSE,69.16,3.506,2585.85,31.75,6,1057.16,223.4442513,7.931,1493659.74,A,151315,1493659.74
2,11/11/2011,FALSE,59.33,3.297,10797.64,20445,443.32,4754.07,217.6455387,7.441,1502078.93,A,202307,1920725.15
2,11/18/2011,FALSE,62.01,3.308,6490.92,1217.76,152.12,873.82,217.8670218,7.441,1902762.5,A,202307,1902762.5
2,11/25/2011,TRUE,56.36,3.236,919.71,62,77451.26,23,218.1130269,7.441,2614202.3,A,202307,2614202.3
2,12/2/2011,FALSE,48.74,3.172,8010.99,83.47,1897.27,4444,218.3590319,7.441,1484708.38,A,202307,1954952
2,12/9/2011,FALSE,41.76,3.158,11472.59,40,306.43,4160.55,218.605037,7.441,1713769.06,A,202307,2290549.32
2,12/16/2011,FALSE,50.13,3.159,4908.83,61.03,341.49,469.8,218.8217928,7.441,1852179.15,A,202307,2432736.52
2,12/23/2011,FALSE,46.66,3.112,2971.04,15.18,1501.75,88.76,218.9995495,7.441,3224369.8,A,202307,3224369.8
2,12/30/2011,TRUE,44.57,3.129,8321.44,92523.94,139.53,1515.4,219.1773063,7.441,1874226.52,A,202307,1874226.52
2,1/6/2012,FALSE,46.75,3.157,5886.72,37454.29,121.16,2388.92,219.355063,7.057,1266570.4,A,202307,1799520.14
2,1/13/2012,FALSE,45.99,3.261,4414.72,12092.63,98.38,708.18,219.5328198,7.057,1182198.7,A,202307,1744725.48
2,1/20/2012,FALSE,51.7,3.268,6552.26,4355.69,105.97,1703.1,219.6258417,7.057,1237104.73,A,202307,1711769.11
2,1/27/2012,FALSE,50.5,3.29,1920.15,1507.56,86.09,43.4,219.7188636,7.057,1660906.14,A,202307,1660906.14
2,2/3/2012,FALSE,55.21,3.36,75149.79,3818.85,221.4,48159.86,219.8118854,7.057,1935299.94,A,202307,1935299.94
2,2/10/2012,TRUE,46.98,3.409,13510.89,6674.42,94.07,14114.9,219.9049073,7.057,1499496.67,A,202307,2103322.68
2,2/17/2012,FALSE,43.82,3.51,13942.54,14273.24,15.76,4927.14,220.0651993,7.057,1424720.27,A,202307,2196688.46
2,2/24/2012,FALSE,54.63,3.555,13048.36,12059.1,10.2,5299.73,220.275944,7.057,1352470.09,A,202307,1861802.7
2,3/2/2012,FALSE,58.79,3.63,23901.27,2144.7,9,9799.63,220.4866886,7.057,1952555.66,A,202307,1952555.66
2,3/9/2012,FALSE,57.11,3.669,11784.91,368.32,3,2498.17,220.6974332,7.057,1937628.26,A,202307,1937628.26
2,3/16/2012,FALSE,63.68,3.734,5965.99,230.42,3,2650.77,220.8498468,7.057,1976082.13,A,202307,1976082.13
2,3/23/2012,FALSE,64.01,3.787,6008.98,139.93,6.63,1650.49,220.9244858,7.057,1342254.55,A,202307,1790439.16
2,3/30/2012,FALSE,66.83,3.845,14369.3,164.77,17,1017.31,220.9991248,7.057,1327139.35,A,202307,1857480.84
2,4/6/2012,FALSE,68.43,3.891,12132.59,1.3,32.58,4874.69,221.0737638,6.891,2129035.91,A,202307,2129035.91
2,4/13/2012,FALSE,68.08,3.891,8994.04,6573.08,20.21,4162.2,221.1484028,6.891,1935869.1,A,202307,1935869.1
2,4/20/2012,FALSE,65.69,3.877,7311.02,2236.2,33.53,878.07,221.2021074,6.891,1847344.45,A,202307,1847344.45
2,6/1/2012,FALSE,78.38,3.501,13091.33,21,245.37,2993.15,221.3852748,6.891,1450733.29,A,202307,1910092.37
2,6/8/2012,FALSE,78.69,3.452,12162.04,463.6,78.39,3610.78,221.3877467,6.891,1390122.11,A,202307,2010216.49
2,6/15/2012,FALSE,80.56,3.393,8573.41,195,0.19,4455.38,221.4009901,6.891,1440263.15,A,202307,1962924.3
2,6/22/2012,FALSE,81.04,3.346,12126.02,314,60.99,6058.6,221.4411622,6.891,1468350.36,A,202307,1887733.21
2,7/6/2012,FALSE,84.2,3.227,12355.5,295.05,100.15,6720.4,221.5215064,6.565,2041507.4,A,202307,2041507.4
2,7/13/2012,FALSE,80.17,3.256,8354.65,342.25,20.53,5674.44,221.5616784,6.565,1321741.35,A,202307,1830075.13
2,7/20/2012,FALSE,83.23,3.311,6961.58,241.2,24.97,3401.36,221.5701123,6.565,1317672.92,A,202307,1819666.46
2,7/27/2012,FALSE,86.37,3.407,6999.14,197.72,2.53,6319.33,221.5785461,6.565,1248915.43,A,202307,1757923.88
2,8/3/2012,FALSE,90.22,3.417,27650.68,164.58,43.02,21801.9,221.5869799,6.565,1946104.64,A,202307,1946104.64
2,8/10/2012,FALSE,88.55,3.494,5554.54,142.3,13.43,4187.43,221.5954138,6.565,1866719.96,A,202307,1866719.96
2,8/17/2012,FALSE,84.79,3.571,4774.16,330.78,10.53,4253.28,221.6751459,6.565,1375101.26,A,202307,1928016.01
2,8/24/2012,FALSE,76.91,3.62,4759.7,211.38,6.62,2972.88,221.8083518,6.565,1544653.37,A,202307,1876788.15
2,8/31/2012,FALSE,82.64,3.638,17500.26,73.22,21.38,12878.62,221.9415576,6.565,1542719.87,A,202307,1947083.3
2,9/7/2012,TRUE,87.65,3.73,10658.86,149.28,60.97,2920.9,222.0747635,6.565,1898777.07,A,202307,1898777.07
2,9/21/2012,FALSE,71.09,3.721,6707.94,3.82,15.55,1001.42,222.4169362,6.565,1338572.29,A,202307,1829415.67
2,9/28/2012,FALSE,79.45,3.666,7106.05,1.91,1.65,1549.1,222.6164329,6.565,1338299.02,A,202307,1746470.56
2,10/26/2012,FALSE,69.79,3.506,6152.59,129.77,200,272.29,223.0783366,6.17,1834458.35,A,202307,1834458.35
3,11/11/2011,FALSE,61.7,3.297,8787.59,2006.62,200.01,570.57,221.4117517,7.197,531600.62,B,37392,407764.25
3,11/18/2011,FALSE,63.91,3.308,1383.53,23.27,19.95,865.09,221.6432852,7.197,398838.97,B,37392,398838.97
3,12/2/2011,FALSE,54.97,3.172,850.86,18.94,781.71,394.29,222.1589519,7.197,579874.22,B,37392,472511.32
3,12/9/2011,FALSE,49.26,3.158,4059.38,6.47,123.42,833.44,222.4167852,7.197,633240.53,B,37392,468772.8
3,12/30/2011,TRUE,48.29,3.129,1449.16,14356.07,66.66,81.43,223.0090839,7.197,551743.05,B,37392,410553.88
3,1/6/2012,FALSE,52.42,3.157,3824.22,9389.98,15,415.36,223.1923049,6.833,469773.85,B,37392,398178.21
3,1/20/2012,FALSE,56.2,3.268,720.82,1629.26,1.46,16.05,223.4700552,6.833,446863.31,B,37392,365818.61
3,2/3/2012,FALSE,59.33,3.36,9667.5,268.29,0.6,8368.15,223.6591137,6.833,493159.35,B,37392,424960.66
3,2/10/2012,TRUE,51.65,3.409,8687.47,1594.87,2.2,2144.87,223.753643,6.833,545840.05,B,37392,473292.47
3,2/17/2012,FALSE,52.39,3.51,2706.87,3128.74,1.88,2396.68,223.9170153,6.833,559606.91,B,37392,475591.08
3,3/9/2012,FALSE,60.71,3.669,8368.5,298.46,1.39,1340.29,224.5620291,6.833,504750.35,B,37392,445162.05
3,3/16/2012,FALSE,64,3.734,2588.06,80.89,3.2,909.76,224.7166953,6.833,411775.8,B,37392,411775.8
3,3/23/2012,FALSE,66.53,3.787,737.08,36.1,1.43,92.11,224.7909104,6.833,517408.48,B,37392,413907.25
3,3/30/2012,FALSE,69.36,3.845,825.1,99.83,1.25,113.25,224.8651254,6.833,504566.28,B,37392,407488.84
3,4/13/2012,FALSE,72.83,3.891,5359.22,1673.42,3,682.03,225.0135556,6.664,520493.83,B,37392,420789.74
3,4/20/2012,FALSE,72.05,3.877,2784.82,130.68,1.75,425.29,225.0689541,6.664,434822.13,B,37392,434822.13
3,6/1/2012,FALSE,81.55,3.501,2664.55,10,220.03,618.49,225.2518313,6.664,576252.35,B,37392,432268.53
3,6/8/2012,FALSE,81.65,3.452,5770.48,28.6,30.18,283.7,225.2521458,6.664,554093.15,B,37392,446336.8
3,6/15/2012,FALSE,84.66,3.393,2014.47,31.8,1,631.17,225.2644795,6.664,552338.76,B,37392,442074.79
3,6/22/2012,FALSE,82.7,3.346,1843.45,11.2,0.51,421.71,225.3068615,6.664,581854.5,B,37392,419497.95
3,7/6/2012,FALSE,83.14,3.227,2625.99,30.7,28.16,703.16,225.3916254,6.334,578832.41,B,37392,411206.5
3,7/13/2012,FALSE,82.28,3.256,3196.9,20.8,2.02,302.29,225.4340074,6.334,514709.76,B,37392,416913.1
3,7/20/2012,FALSE,81.38,3.311,1266.72,66.2,3.83,149.62,225.4438827,6.334,506705.36,B,37392,432424.85
3,7/27/2012,FALSE,84.94,3.407,3447.28,31,2.46,1791.7,225.4537579,6.334,475158.24,B,37392,389427.9
3,8/3/2012,FALSE,86.55,3.417,5683.49,37.2,0.04,2484.22,225.4636332,6.334,419990.29,B,37392,419990.29
3,8/10/2012,FALSE,85.85,3.494,3375.44,28.4,2.4,1880.43,225.4735085,6.334,518628.42,B,37392,391811.6
3,8/31/2012,FALSE,85.18,3.638,6599.69,27.8,24.7,1743.76,225.8293063,6.334,545844.91,B,37392,408838.73
3,9/7/2012,TRUE,84.99,3.73,2266.83,19,8.31,419.87,225.9660263,6.334,408229.73,B,37392,408229.73
3,9/21/2012,FALSE,72.78,3.721,3233.34,1.91,7.69,878.66,226.3151496,6.334,489079.23,B,37392,414392.09
3,10/26/2012,FALSE,74.66,3.506,370.99,6.35,4,5.94,226.9873637,6.034,405432.7,B,37392,405432.7
4,11/11/2011,FALSE,47.12,3.286,12851.52,16658.47,430.13,5630.01,129.8167097,5.143,1456957.38,A,205863,2203028.96
4,11/18/2011,FALSE,50.44,3.294,4539.94,840.56,372.9,613.96,129.8268333,5.143,1510397.27,A,205863,2243946.59
4,11/25/2011,TRUE,47.96,3.225,561.45,137.88,83340.33,44.04,129.8364,5.143,2338832.4,A,205863,3004702.33
4,12/2/2011,FALSE,38.71,3.176,9762.39,160.94,2260.29,4767.86,129.8459667,5.143,1632894.58,A,205863,2180999.26
4,12/9/2011,FALSE,31.64,3.153,5857.72,30,984.98,4692.5,129.8555333,5.143,1781528.77,A,205863,2508955.24
4,12/16/2011,FALSE,36.44,3.149,2756.67,72.3,1790.15,777.65,129.8980645,5.143,1991824.05,A,205863,2771397.17
4,12/23/2011,FALSE,35.92,3.103,2461.94,69.05,2938.24,52,129.9845484,5.143,3676388.98,A,205863,3676388.98
4,12/30/2011,TRUE,36.89,3.119,3496.13,72413.71,399.77,776.26,130.0710323,5.143,1537139.56,A,205863,2007105.86
4,1/6/2012,FALSE,38.64,3.158,7857.71,38677.72,234,863.22,130.1575161,4.607,1478537.93,A,205863,2047766.07
4,1/13/2012,FALSE,34.41,3.263,3666.28,14553.37,76.37,820.37,130.244,4.607,1369125.37,A,205863,1941676.61
4,1/20/2012,FALSE,42.09,3.273,2109.41,7040.02,44.16,918.36,130.2792258,4.607,1394841.03,A,205863,2005097.76
4,1/27/2012,FALSE,40.31,3.29,1346.06,3740.12,46.16,445.47,130.3144516,4.607,1320301.61,A,205863,1928720.51
4,2/3/2012,FALSE,41.81,3.354,50820.76,4033.29,285.11,48086.64,130.3496774,4.607,1396150.15,A,205863,2173373.91
4,2/10/2012,TRUE,33,3.411,11374.63,7208.51,118.37,12869.78,130.3849032,4.607,1442988.44,A,205863,2374660.64
4,2/17/2012,FALSE,34.19,3.493,14225.99,11049.65,17.36,11912.49,130.4546207,4.607,1511041.69,A,205863,2427640.17
4,2/24/2012,FALSE,41.31,3.541,9777.71,4703.88,5.4,1179.72,130.5502069,4.607,1412065.04,A,205863,2226662.17
4,3/2/2012,FALSE,50.38,3.619,18564.88,1394.86,32.93,10714.6,130.6457931,4.607,1453047.02,A,205863,2206319.9
4,3/9/2012,FALSE,53.63,3.667,8779.57,602.02,8.53,1103.64,130.7413793,4.607,1470764.35,A,205863,2202450.81
4,3/23/2012,FALSE,59.07,3.759,8806.8,-10.5,5.99,739.14,130.8966452,4.607,1469593.37,A,205863,2091592.54
4,3/30/2012,FALSE,72.63,3.82,2565.8,442.52,6.5,487.66,130.9670968,4.607,1499727.02,A,205863,2089381.77
4,4/13/2012,FALSE,68.69,3.881,12506.74,5941.43,30.84,3915.29,131.108,4.308,1580732.73,A,205863,2105301.39
4,4/20/2012,FALSE,68.6,3.864,2774.39,4279.41,43.43,2409.97,131.1173333,4.308,2144336.89,A,205863,2144336.89
4,4/27/2012,FALSE,76.47,3.81,3993.66,97.77,26.68,113.37,131.1266667,4.308,1456997.2,A,205863,2064065.66
4,5/11/2012,FALSE,67.64,3.685,20499.88,86,103.05,5005.96,131.1453333,4.308,1470792.41,A,205863,2127661.17
4,5/25/2012,FALSE,77.47,3.551,4330.02,436,862.31,3268.41,131.0287742,4.308,1596036.66,A,205863,2154137.67
4,6/1/2012,FALSE,77.41,3.483,10165.22,8.6,47.93,2676.33,130.9592258,4.308,1640476.77,A,205863,2179360.94
4,6/8/2012,FALSE,78.11,3.433,7429.46,249.8,7.86,4235.27,130.8896774,4.308,1623442.24,A,205863,2245257.18
4,6/15/2012,FALSE,80.94,3.372,16063.84,84,0.22,2105.39,130.8295333,4.308,1587499.82,A,205863,2234190.93
4,6/22/2012,FALSE,81.63,3.329,6619.2,351.22,3.48,5390.02,130.7929,4.308,1532316.79,A,205863,2197299.65
4,7/6/2012,FALSE,80.37,3.187,9789.03,90,157.62,10671.47,130.7196333,4.077,1659221.99,A,205863,2224499.28
4,7/13/2012,FALSE,76.86,3.224,11075.38,151,17.27,3810.25,130.683,4.077,1471261.76,A,205863,2100252.61
4,7/20/2012,FALSE,79.14,3.263,4799.23,47.55,30.56,634.78,130.7012903,4.077,1582168.27,A,205863,2175563.69
4,7/27/2012,FALSE,81.06,3.356,7011.68,68.7,4.26,13565.83,130.7195806,4.077,1487797.54,A,205863,2048613.65
4,8/3/2012,FALSE,83.86,3.374,29127.2,42.27,58.34,22663.73,130.737871,4.077,1608277.74,A,205863,2174514.13
4,8/10/2012,FALSE,83.21,3.476,16996.42,36.6,60.94,4777.2,130.7561613,4.077,1641867.92,A,205863,2193367.69
4,8/17/2012,FALSE,81.41,3.552,2531.63,15.04,5.54,1269.13,130.7909677,4.077,1720221.91,A,205863,2283540.3
4,8/31/2012,FALSE,76.47,3.646,19617.58,1.02,68.29,7187.73,130.8853548,4.077,1710923.94,A,205863,2081181.35
4,9/7/2012,TRUE,82.09,3.709,9082.61,16,59.06,7217.88,130.9325484,4.077,2125104.72,A,205863,2125104.72
4,9/21/2012,FALSE,68.97,3.721,11214.89,5.73,16.84,6376.86,131.0103333,4.077,1555672.51,A,205863,2119438.53
4,9/28/2012,FALSE,71.74,3.666,5333.92,5.73,2.94,1931.02,131.043,4.077,1495607.07,A,205863,2027620.23
5,11/11/2011,FALSE,60.71,3.297,2971.48,1943.2,60.03,757.33,218.5699621,6.3,808624.82,B,34875,311906.7
5,11/18/2011,FALSE,64.33,3.308,952.21,116.11,95.01,295.13,218.793912,6.3,773603.77,B,34875,307944.37
5,11/25/2011,TRUE,61.93,3.236,107.42,7,29333.06,8,219.0428204,6.3,1170672.94,B,34875,507900.07
